Open,High,Low,Close,Volume,Adj Close
19.0,19.0,19.0,19.0,0,16.843
19.0,19.0,19.0,19.0,0,16.843
18.8,18.8,18.8,18.8,0,16.666
18.92,18.92,18.92,18.92,0,16.772000000000002
19.0,19.0,19.0,19.0,0,16.843
19.2,19.2,19.2,19.2,0,17.021
19.4,19.4,19.4,19.4,0,17.198
19.0,19.0,19.0,19.0,0,16.843
18.5,18.5,18.5,18.5,0,16.4
18.8,18.8,18.8,18.8,0,16.666
18.6,18.6,18.6,18.6,0,16.489
18.6,18.6,18.6,18.6,0,16.489
18.6,18.6,18.6,18.6,0,16.489
18.7,18.7,18.7,18.7,0,16.577
18.5,18.5,18.5,18.5,0,16.4
18.5,18.5,18.5,18.5,0,16.4
18.5,18.5,18.5,18.5,0,16.4
17.6,17.6,17.6,17.6,0,15.602
17.5,17.88,17.5,17.88,100,15.850999999999999
17.6,17.6,17.6,17.6,0,15.602
17.6,17.6,17.6,17.6,0,15.602
17.7,17.7,17.7,17.7,0,15.690999999999999
17.5,17.5,17.5,17.5,0,15.514000000000001
17.6,17.6,17.6,17.6,0,15.602
17.5,17.5,17.5,17.5,0,15.514000000000001
17.3,17.3,17.3,17.3,0,15.335999999999999
17.0,17.0,17.0,17.0,0,15.07
17.0,17.0,17.0,17.0,0,15.07
16.7,16.7,16.7,16.7,0,14.804
16.8,16.8,16.8,16.8,0,14.892999999999999
16.7,16.7,16.7,16.7,0,14.804
16.7,16.7,16.7,16.7,0,14.804
16.2,16.2,16.2,16.2,0,14.360999999999999
15.7,15.7,15.7,15.7,0,13.918
16.4,16.4,16.4,16.4,0,14.539000000000001
16.1,16.1,16.1,16.1,0,14.273
16.0,16.0,16.0,16.0,0,14.184000000000001
16.0,16.0,15.9,15.98,600,14.165999999999999
15.5,15.5,15.5,15.5,0,13.741
14.8,14.8,14.8,14.8,0,13.12
14.3,14.3,14.3,14.3,0,12.677
14.4,14.4,14.4,14.4,0,12.765999999999998
14.5,14.5,14.5,14.5,0,12.854000000000001
14.4,14.4,14.4,14.4,0,12.765999999999998
14.5,14.5,14.5,14.5,0,12.854000000000001
14.1,14.1,14.1,14.1,100,12.5
13.9,13.9,13.9,13.9,0,12.322000000000001
13.8,13.8,13.8,13.8,0,12.234000000000002
13.75,13.75,13.75,13.75,0,12.189
13.8,13.8,13.8,13.8,0,12.234000000000002
13.85,13.85,13.85,13.85,0,12.277999999999999
13.6,13.6,13.6,13.6,0,12.056
13.7,13.98,13.7,13.98,700,12.392999999999999
13.7,13.7,13.7,13.7,0,12.145
13.8,13.8,13.8,13.8,0,12.234000000000002
13.7,13.7,13.7,13.7,0,12.145
13.8,13.8,13.8,13.8,0,12.234000000000002
13.8,13.8,13.8,13.8,0,12.234000000000002
13.8,13.8,13.8,13.8,0,12.234000000000002
14.0,14.0,14.0,14.0,0,12.411
14.4,14.4,14.4,14.4,0,12.765999999999998
14.1,14.1,14.1,14.1,0,12.5
14.5,14.5,14.5,14.5,0,12.854000000000001
15.0,15.0,15.0,15.0,0,13.297
15.2,15.2,15.2,15.2,0,13.475
15.3,15.3,15.3,15.3,0,13.562999999999999
15.3,15.3,15.3,15.3,0,13.562999999999999
15.0,15.0,15.0,15.0,0,13.297
15.8,15.8,15.8,15.8,0,14.007
16.2,16.2,16.2,16.2,0,14.360999999999999
16.25,16.25,16.25,16.25,0,14.405999999999999
15.8,15.8,15.64,15.64,0,13.865
15.7,15.7,15.7,15.7,0,13.918
15.8,15.8,15.8,15.8,0,14.007
15.3,15.3,15.3,15.3,0,13.562999999999999
15.4,15.4,15.4,15.4,0,13.652000000000001
14.9,14.9,14.9,14.9,0,13.209000000000001
14.0,14.0,14.0,14.0,0,12.411
13.5,13.5,13.5,13.5,0,11.968
13.5,13.5,13.5,13.5,0,11.968
13.4,13.58,13.4,13.58,0,12.039000000000001
12.0,12.0,12.0,12.0,0,10.638
11.0,11.0,11.0,11.0,0,9.751
11.5,11.5,11.5,11.5,0,10.195
11.4,11.98,11.4,11.98,0,10.62
11.8,11.8,11.8,11.8,0,10.460999999999999
12.0,12.0,12.0,12.0,0,10.638
12.0,12.0,12.0,12.0,0,10.638
12.3,12.3,12.3,12.3,0,10.904000000000002
12.7,12.7,12.7,12.7,0,11.258
12.8,12.8,12.8,12.8,0,11.347000000000001
13.0,13.0,13.0,13.0,0,11.524000000000001
13.0,13.0,13.0,13.0,0,11.524000000000001
13.1,13.1,13.1,13.1,0,11.613
13.0,13.0,13.0,13.0,0,11.524000000000001
14.0,14.0,14.0,14.0,0,12.411
13.7,13.7,13.7,13.7,0,12.145
13.0,13.0,13.0,13.0,0,11.524000000000001
13.0,13.0,13.0,13.0,0,11.524000000000001
13.0,13.0,13.0,13.0,0,11.524000000000001
13.0,13.0,13.0,13.0,0,11.524000000000001
13.12,13.12,13.12,13.12,0,11.630999999999998
13.02,13.02,13.02,13.02,0,11.542
13.0,13.0,13.0,13.0,0,11.524000000000001
13.0,13.0,13.0,13.0,0,11.524000000000001
