,index,ticker,a_x,b_x,c,d,e,f,g,country,name,industry,a_y,b_y
20,3203,RDSA,SET0,FE00,ROYAL,DUTCH,SHELL,PLC,GB00B03MLX29,GB,Royal Dutch Shell,Oil and gas,160.12,"90,000"
21,3161,CNA,SET1,FE10,CENTRICA,PLC,GB00B033F229,GB,,,Centrica,Energy,10.72,"40,000"
22,3022,SBRY,SET1,FS10,SAINSBURY(J),PLC,GB00B019KW72,GB,,,Sainsbury's,Supermarket,5.02,"150,000"
23,9061,HSBA,SET0,FE00,HSBC,HLDGS,PLC,GB0005405286,GB,,HSBC,Banking,88.11,"267,000"
24,1880,HSBA,SET0,FE00,HSBC,HLDGS,PLC,GB0005405286,GB,,HSBC,Banking,88.11,"267,000"
25,1907,LGEN,SET1,FS10,LEGAL,&,GENERAL,GROUP,PLC,GB0005603997,Legal & General,Insurance,13.21,"9,324"
26,2316,TSCO,SET0,FE00,TESCO,PLC,GB0008847096,GB,,,Tesco,Supermarket,14.92,"519,671"
27,9269,TSCO,SET0,FE00,TESCO,PLC,GB0008847096,GB,,,Tesco,Supermarket,14.92,"519,671"
28,1134,BLT,SET0,FE00,BHP,BILLITON,PLC,GB0000566504,GB,,BHP Billiton,Mining,41.88,"46,370"
29,9058,BLT,SET0,FE00,BHP,BILLITON,PLC,GB0000566504,GB,,BHP Billiton,Mining,41.88,"46,370"
30,4505,AAL,SET0,FE00,ANGLO,AMERICAN,PLC,GB00B1XZS820,GB,,Anglo American plc,Mining,6.09,"100,000"
31,9094,AAL,SET0,FE00,ANGLO,AMERICAN,PLC,GB00B1XZS820,GB,,Anglo American plc,Mining,6.09,"100,000"
32,9265,BATS,SET0,FE00,BRITISH,AMERICAN,TOBACCO,PLC,GB0002875804,GB,British American Tobacco,Tobacco,71.4,"87,813"
33,1511,BATS,SET0,FE00,BRITISH,AMERICAN,TOBACCO,PLC,GB0002875804,GB,British American Tobacco,Tobacco,71.4,"87,813"
34,9266,STAN,SET0,FE00,STANDARD,CHARTERED,PLC,GB0004082847,GB,,Standard Chartered,Banking,13.52,"86,865"
35,1695,STAN,SET0,FE00,STANDARD,CHARTERED,PLC,GB0004082847,GB,,Standard Chartered,Banking,13.52,"86,865"
36,11244,GLEN,SET0,FE00,GLENCORE,INTERNATIONAL,PLC,JE00B4T3BW64,JE,,Glencore,Mining,16.96,"57,656"
37,11228,GLEN,SET0,FE00,GLENCORE,INTERNATIONAL,PLC,JE00B4T3BW64,JE,,Glencore,Mining,16.96,"57,656"
38,2102,RIO,SET0,FE00,RIO,TINTO,PLC,GB0007188757,GB,,Rio Tinto Group,Mining,34.84,"67,930"
39,9062,RIO,SET0,FE00,RIO,TINTO,PLC,GB0007188757,GB,,Rio Tinto Group,Mining,34.84,"67,930"
40,2051,PSON,SET1,FS10,PEARSON,PLC,GB0006776081,GB,,,Pearson PLC,Education,6.52,"37,000"
41,7887,FRES,SET1,FE10,FRESNILLO,PLC,GB00B2QPKJ12,GB,,,Fresnillo plc,Mining,6.99,"2,449"
42,4800,FRES,SET1,FE10,FRESNILLO,PLC,GB00B2QPKJ12,GB,,,Fresnillo plc,Mining,6.99,"2,449"
43,4799,FRES,SET1,FE10,FRESNILLO,PLC,GB00B2QPKJ12,GB,,,Fresnillo plc,Mining,6.99,"2,449"
44,2651,MKS,SET1,FS10,MARKS,&,SPENCER,GROUP,PLC,GB0031274896,Marks & Spencer,Retailer,7.01,"81,223"
45,1221,BLND,SET1,FS10,BRITISH,LAND,CO,PLC,GB0001367019,GB,British Land,Property,7.13,177
46,1694,HMSO,SET1,FS10,HAMMERSON,PLC,GB0004065016,GB,,,Hammerson,Property,4.42,277
47,1727,REX,SET1,FS10,REXAM,PLC,GB0004250451,GB,,,Rexam,Packaging,25.54,"19,000"
48,1044,ADN,STMM,F25T,ABERDEEN,ASSET,MANAGEMENT,PLC,GB0000031285,GB,Aberdeen Asset Management,Fund management,3.14,"1,800"
49,5204,CRH,SET1,FF10,CRH,PLC,IE0001827041,IE,,,CRH plc,Building materials,10.9,"76,433"
50,11655,CRH,SET1,FF10,CRH,PLC,IE0001827041,IE,,,CRH plc,Building materials,10.9,"76,433"
51,5205,CRH,SET1,FF10,CRH,PLC,IE0001827041,IE,,,CRH plc,Building materials,10.9,"76,433"
52,2213,SGE,SET1,FS10,SAGE,GROUP,PLC,GB0008021650,GB,,Sage Group,IT,6.26,"12,300"
53,3879,ULVR,SET1,FE10,UNILEVER,PLC,GB00B10RZP78,GB,,,Unilever,Consumer goods,90.42,"171,000"
54,4735,REL,SET1,FS10,REED,ELSEVIER,PLC,GB00B2B0DG97,GB,,RELX Group,Publishing,25.54,"28,500"
55,4736,REL,SET1,FS10,REED,ELSEVIER,PLC,GB00B2B0DG97,GB,,RELX Group,Publishing,25.54,"28,500"
56,4481,SMIN,SET1,FS10,SMITHS,GROUP,PLC,GB00B1WY2338,GB,,Smiths Group,Engineering,3.84,"23,550"
57,2602,BT.A,SET1,FE10,BT,GROUP,PLC,GB0030913577,GB,,BT Group,Telecomms,45.61,"89,000"
58,9068,BT.A,SET1,FE10,BT,GROUP,PLC,GB0030913577,GB,,BT Group,Telecomms,45.61,"89,000"
59,2645,CCL,SET1,FS10,CARNIVAL,PLC,GB0031215220,GB,,,Carnival Corporation & plc,Leisure,24.85,"86,800"
60,2730,LAND,SET1,FS10,LAND,SECURITIES,GROUP,PLC,GB0031809436,GB,Land Securities,Property,8.19,700
61,1865,CPG,SET1,FS10,COMPASS,GROUP,PLC,GB0005331532,GB,,Compass Group,Food,20.21,"471,108"
62,2094,PRU,SET1,FE10,PRUDENTIAL,PLC,GB0007099541,GB,,,Prudential plc,Finance,31.63,"25,414"
63,7430,WPP,SET1,FS10,WPP,PLC,JE00B3DMTY01,JE,,,WPP plc,Media,19.01,"162,000"
64,2813,KGF,SET1,FS10,KINGFISHER,PLC,GB0033195214,GB,,,Kingfisher plc,Retail homeware,7.8,"80,000"
65,4575,CPI,SET1,FS10,CAPITA,PLC,GB00B23K0M20,GB,,,Capita,Support Services,7.38,"46,500"
66,2461,BAB,STMM,F25F,BABCOCK,INTERNATIONAL,GROUP,PLC,GB0009697037,GB,Babcock International,Engineering,4.65,"34,000"
67,1429,DGE,SET0,FE00,DIAGEO,PLC,GB0002374006,GB,,,Diageo,Beverages,46.01,"25,000"
68,11583,DGE,SET0,FE00,DIAGEO,PLC,GB0002374006,GB,,,Diageo,Beverages,46.01,"25,000"
69,4474,IHG,SET1,FS10,INTERCONTINENTAL,HOTELS,GROUP,PLC,GB00B1WQCS47,GB,InterContinental Hotels Group,Hotels,5.75,"345,000"
70,2368,SN.,SET1,FS10,SMITH,&,NEPHEW,PLC,GB0009223206,GB,Smith & Nephew,Medical,10.27,"11,000"
71,2748,NXT,SET1,FS10,NEXT,PLC,GB0032089863,GB,,,Next plc,Retail clothing,6.9,"58,706"
72,10508,GKN,SET1,FS10,GKN,PLC,GB0030646508,GB,,,GKN,Manufacturing,4.79,"50,000"
73,2569,GKN,SET1,FS10,GKN,PLC,GB0030646508,GB,,,GKN,Manufacturing,4.79,"50,000"
74,2570,GKN,SET1,FS10,GKN,PLC,GB0030646508,GB,,,GKN,Manufacturing,4.79,"50,000"
75,3389,BNZL,SET1,FS10,BUNZL,PLC,GB00B0744B38,GB,,,Bunzl,Industrial products,6.38,"12,368"
76,3388,BNZL,SET1,FS10,BUNZL,PLC,GB00B0744B38,GB,,,Bunzl,Industrial products,6.38,"12,368"
77,3390,BNZL,SET1,FS10,BUNZL,PLC,GB00B0744B38,GB,,,Bunzl,Industrial products,6.38,"12,368"
78,9069,BARC,SET0,FE00,BARCLAYS,PLC,GB0031348658,GB,,,Barclays,Banking,27.18,"150,000"
79,2659,BARC,SET0,FE00,BARCLAYS,PLC,GB0031348658,GB,,,Barclays,Banking,27.18,"150,000"
80,1813,SAB,SET0,FE00,SABMILLER,PLC,GB0004835483,GB,,,SABMiller,Beverages,67.32,"70,000"
81,10166,SAB,SET0,FE00,SABMILLER,PLC,GB0004835483,GB,,,SABMiller,Beverages,67.32,"70,000"
82,10726,WOS,SET1,FS10,WOLSELEY,PLC,JE00B3YWCQ29,JE,,,Wolseley plc,Building materials,9.2,"44,000"
83,2716,BRBY,SET1,FS10,BURBERRY,GROUP,PLC,GB0031743007,GB,,Burberry,Fashion,5.65,"10,851"
84,9034,BRBY,SET1,FS10,BURBERRY,GROUP,PLC,GB0031743007,GB,,Burberry,Fashion,5.65,"10,851"
85,2717,BRBY,SET1,FS10,BURBERRY,GROUP,PLC,GB0031743007,GB,,Burberry,Fashion,5.65,"10,851"
86,3759,LSE,STMM,F25F,LONDON,STOCK,EXCHANGE,GROUP,PLC,GB00B0SWJX34,London Stock Exchange Group,Finance,8.06,"4,692"
87,3757,LSE,STMM,F25F,LONDON,STOCK,EXCHANGE,GROUP,PLC,GB00B0SWJX34,London Stock Exchange Group,Finance,8.06,"4,692"
88,3758,LSE,STMM,F25F,LONDON,STOCK,EXCHANGE,GROUP,PLC,GB00B0SWJX34,London Stock Exchange Group,Finance,8.06,"4,692"
89,4154,EXPN,SET1,FS10,EXPERIAN,PLC,GB00B19NLV48,JE,,,Experian,Information,11.1,"17,000"
90,4320,WTB,SET1,FS10,WHITBREAD,PLC,GB00B1KJJ408,GB,,,Whitbread,Retail hospitality,7.09,"86,800"
91,8776,WTB,SET1,FS10,WHITBREAD,PLC,GB00B1KJJ408,GB,,,Whitbread,Retail hospitality,7.09,"86,800"
92,1431,SDR,SET1,FS10,SCHRODERS,PLC,GB0002405495,GB,,,Schroders,Fund management,6.63,"3,012"
93,2890,ITV,SET1,FS10,ITV,PLC,GB0033986497,GB,,,ITV plc,Media,10.15,"4,059"
94,2891,ITV,SET1,FS10,ITV,PLC,GB0033986497,GB,,,ITV plc,Media,10.15,"4,059"
95,2050,ABF,SET1,FS10,ASSOCIATED,BRITISH,FOODS,PLC,GB0006731235,GB,Associated British Foods,Food,25.77,"102,000"
96,1113,ANTO,SET1,FS10,ANTOFAGASTA,PLC,GB0000456144,GB,,,Antofagasta,Mining,4.71,"4,005"
97,2698,ITRK,SET1,FS10,INTERTEK,GROUP,PLC,GB0031638363,GB,,Intertek,Product testing,4.67,"33,000"
98,8080,ITRK,SET1,FS10,INTERTEK,GROUP,PLC,GB0031638363,GB,,Intertek,Product testing,4.67,"33,000"
99,7858,RRS,SET1,FS10,RANDGOLD,RESOURCES,LD,GB00B01C3S32,GB,,Randgold Resources,Mining,5.89,"6,954"
100,3025,RRS,SET1,FS10,RANDGOLD,RESOURCES,LD,GB00B01C3S32,GB,,Randgold Resources,Mining,5.89,"6,954"
101,1140,ARM,SET1,FS10,ARM,HOLDINGS,PLC,GB0000595859,GB,,ARM Holdings,Engineering,13.2,"2,000"
102,9761,ARM,SET1,FS10,ARM,HOLDINGS,PLC,GB0000595859,GB,,ARM Holdings,Engineering,13.2,"2,000"
103,1141,ARM,SET1,FS10,ARM,HOLDINGS,PLC,GB0000595859,GB,,ARM Holdings,Engineering,13.2,"2,000"
104,5836,SHP,SET1,FS10,SHIRE,PLC,JE00B2QKY057,JE,,,Shire plc,Pharmaceuticals,22.52,"4,200"
105,10887,IAG,SET1,FS10,INTL,CONSOLIDATED,AIRLINES,GROUP,SA,ES0177542018,International Consolidated Airlines Group SA,Travel,11.01,"58,476"
106,9064,LLOY,SET0,FE00,LLOYDS,BANKING,GROUP,PLC,GB0008706128,GB,Lloyds Banking Group,Banking,44.11,"120,449"
107,2286,LLOY,SET0,FE00,LLOYDS,BANKING,GROUP,PLC,GB0008706128,GB,Lloyds Banking Group,Banking,44.11,"120,449"
108,11234,RR.,SET1,FS10,ROLLS-ROYCE,HOLDINGS,PLC,GB00B63H8491,GB,,Rolls-Royce Holdings,Manufacturing,11.8,"55,500"
